function_name,basicblock_id,number_of_instructions,instructions
lua_rotate,BB#7,2,renamable $rsi = COPY renamable $rcx; renamable $rdi = COPY renamable $rdx
lua_rotate,BB#8,12,"renamable $r8 = MOV64rm renamable $rsi, 1, $noreg, 0, $noreg :: (load (s64) from %ir.34); renamable $r9b = MOV8rm renamable $rsi, 1, $noreg, 8, $noreg :: (load (s8) from %ir.37, align 8, !tbaa !13); renamable $r10 = MOV64rm renamable $rdi, 1, $noreg, 0, $noreg :: (load (s64) from %ir.35); MOV64mr renamable $rsi, 1, $noreg, 0, $noreg, killed renamable $r10 :: (store (s64) into %ir.34); renamable $r10b = MOV8rm renamable $rdi, 1, $noreg, 8, $noreg :: (load (s8) from %ir.40, align 8, !tbaa !13); MOV8mr renamable $rsi, 1, $noreg, 8, $noreg, killed renamable $r10b :: (store (s8) into %ir.37, align 8, !tbaa !13); MOV64mr renamable $rdi, 1, $noreg, 0, $noreg, killed renamable $r8 :: (store (s64) into %ir.35); MOV8mr renamable $rdi, 1, $noreg, 8, $noreg, killed renamable $r9b :: (store (s8) into %ir.40, align 8, !tbaa !13); renamable $rsi = ADD64ri32 killed renamable $rsi(tied-def 0), 16, implicit-def dead $eflags; renamable $rdi = ADD64ri32 killed renamable $rdi(tied-def 0), -16, implicit-def dead $eflags; CMP64rr renamable $rsi, renamable $rdi, implicit-def $eflags; JCC_1 %bb.8, 2, implicit killed $eflags"
lua_rotate,BB#9,3,"renamable $rdx = nuw ADD64ri32 killed renamable $rdx(tied-def 0), 16, implicit-def dead $eflags; CMP64rr renamable $rdx, renamable $rax, implicit-def $eflags; JCC_1 %bb.13, 3, implicit $eflags"
lua_rotate,BB#10,1,renamable $rsi = COPY renamable $rax
lua_rotate,BB#11,13,"renamable $rdi = MOV64rm renamable $rdx, 1, $noreg, 0, $noreg :: (load (s64) from %ir.50); renamable $r8b = MOV8rm renamable $rdx, 1, $noreg, 8, $noreg :: (load (s8) from %ir.53, align 8, !tbaa !13); renamable $r9 = MOV64rm renamable $rsi, 1, $noreg, 0, $noreg :: (load (s64) from %ir.51); MOV64mr renamable $rdx, 1, $noreg, 0, $noreg, killed renamable $r9 :: (store (s64) into %ir.50); renamable $r9b = MOV8rm renamable $rsi, 1, $noreg, 8, $noreg :: (load (s8) from %ir.56, align 8, !tbaa !13); MOV8mr renamable $rdx, 1, $noreg, 8, $noreg, killed renamable $r9b :: (store (s8) into %ir.53, align 8, !tbaa !13); MOV64mr renamable $rsi, 1, $noreg, 0, $noreg, killed renamable $rdi :: (store (s64) into %ir.51); MOV8mr renamable $rsi, 1, $noreg, 8, $noreg, killed renamable $r8b :: (store (s8) into %ir.56, align 8, !tbaa !13); renamable $rdx = ADD64ri32 killed renamable $rdx(tied-def 0), 16, implicit-def dead $eflags; renamable $rsi = ADD64ri32 killed renamable $rsi(tied-def 0), -16, implicit-def dead $eflags; CMP64rr renamable $rdx, renamable $rsi, implicit-def $eflags; JCC_1 %bb.11, 2, implicit $eflags; JMP_1 %bb.13"
lua_rotate,BB#12,10,"renamable $rdx = MOV64rm renamable $rcx, 1, $noreg, 0, $noreg :: (load (s64) from %ir.65); renamable $sil = MOV8rm renamable $rcx, 1, $noreg, 8, $noreg :: (load (s8) from %ir.68, align 8, !tbaa !13); renamable $rdi = MOV64rm renamable $rax, 1, $noreg, 0, $noreg :: (load (s64) from %ir.66); MOV64mr renamable $rcx, 1, $noreg, 0, $noreg, killed renamable $rdi :: (store (s64) into %ir.65); renamable $dil = MOV8rm renamable $rax, 1, $noreg, 8, $noreg :: (load (s8) from %ir.71, align 8, !tbaa !13); MOV8mr renamable $rcx, 1, $noreg, 8, $noreg, killed renamable $dil :: (store (s8) into %ir.68, align 8, !tbaa !13); MOV64mr renamable $rax, 1, $noreg, 0, $noreg, killed renamable $rdx :: (store (s64) into %ir.66); MOV8mr renamable $rax, 1, $noreg, 8, $noreg, killed renamable $sil :: (store (s8) into %ir.71, align 8, !tbaa !13); renamable $rcx = ADD64ri32 killed renamable $rcx(tied-def 0), 16, implicit-def dead $eflags; renamable $rax = ADD64ri32 killed renamable $rax(tied-def 0), -16, implicit-def dead $eflags"
lua_rotate,BB#13,2,"CMP64rr renamable $rcx, renamable $rax, implicit-def $eflags; JCC_1 %bb.12, 2, implicit killed $eflags"
lua_rotate,BB#14,1,RET 0
lua_copy,BB#0,3,"renamable $rcx = MOV64rm renamable $rdi, 1, $noreg, 32, $noreg :: (load (s64) from %ir.4, !tbaa !3); TEST32rr renamable $esi, renamable $esi, implicit-def $eflags; JCC_1 %bb.3, 14, implicit killed $eflags"
lua_copy,BB#1,5,"renamable $eax = MOV32rr killed renamable $esi, implicit-def $rax; renamable $rax = SHL64ri killed renamable $rax(tied-def 0), 4, implicit-def dead $eflags; renamable $rax = ADD64rm killed renamable $rax(tied-def 0), renamable $rcx, 1, $noreg, 0, $noreg, implicit-def dead $eflags :: (load (s64) from %ir.5, !tbaa !12); CMP64rm renamable $rax, renamable $rdi, 1, $noreg, 16, $noreg, implicit-def $eflags :: (load (s64) from %ir.11, !tbaa !12); JCC_1 %bb.10, 2, implicit $eflags"
